"ID,Typ,Artikelnummer,Name,""Regulärer Preis"",Kategorien,Schlagwörter"
"S6P,simple,,""Schaumfeuerlöscher Premium 6 liter"",331.20,""Brandschutz > Mobile Löschgeräte"",""Brandschutz, Fuerlöscher, Mobile Löschgeräte, Schaumlöscher"""
"P2MP,simple,,""Pulverfeuerlöscher 2 kg"",92.85,""Brandschutz > Mobile Löschgeräte"",""Brandschutz, Fuerlöscher, Mobile Löschgeräte, Schaumlöscher"""
"F2MS,simple,,""Fettbrand-Feuerlöscher F2M Standard"",331.20,""Brandschutz > Mobile Löschgeräte"",""Brandschutz, Fuerlöscher, Mobile Löschgeräte, Schaumlöscher"""
